Aircraft 0 goes to Gate 2, at timeslot 9
Aircraft 557 goes to Gate 9, at timeslot 15
Aircraft 558 goes to Gate 19, at timeslot 2
Aircraft 559 goes to Gate 68, at timeslot 5
Aircraft 560 goes to Gate 42, at timeslot 4
Aircraft 561 goes to Gate 64, at timeslot 10
Aircraft 562 goes to Gate 54, at timeslot 10
Aircraft 563 goes to Gate 67, at timeslot 9
Aircraft 564 goes to Gate 54, at timeslot 1
Aircraft 565 goes to Gate 73, at timeslot 5
Aircraft 566 goes to Gate 43, at timeslot 9
Aircraft 567 goes to Gate 24, at timeslot 4
Aircraft 568 goes to Gate 31, at timeslot 5
Aircraft 569 goes to Gate 12, at timeslot 7 (VIP)
Aircraft 570 goes to Gate 41, at timeslot 4
Aircraft 571 goes to Gate 4, at timeslot 4
Aircraft 572 goes to Gate 66, at timeslot 15
Aircraft 573 goes to Gate 95, at timeslot 2
Aircraft 574 goes to Gate 78, at timeslot 11
Aircraft 575 goes to Gate 47, at timeslot 2
Aircraft 576 goes to Gate 68, at timeslot 1
Aircraft 577 goes to Gate 38, at timeslot 14
Aircraft 578 goes to Gate 64, at timeslot 3
Aircraft 579 goes to Gate 52, at timeslot 0
Aircraft 580 goes to Gate 36, at timeslot 11
Aircraft 581 goes to Gate 53, at timeslot 1
Aircraft 582 goes to Gate 32, at timeslot 9
Aircraft 583 goes to Gate 2, at timeslot 1
Aircraft 584 goes to Gate 20, at timeslot 15
Aircraft 585 goes to Gate 41, at timeslot 13
Aircraft 586 goes to Gate 92, at timeslot 6
Aircraft 587 goes to Gate 66, at timeslot 9
Aircraft 588 goes to Gate 58, at timeslot 8
Aircraft 589 goes to Gate 36, at timeslot 13
Aircraft 590 goes to Gate 46, at timeslot 6
Aircraft 591 goes to Gate 33, at timeslot 3
Aircraft 592 goes to Gate 27, at timeslot 0
Aircraft 593 goes to Gate 42, at timeslot 7
Aircraft 594 goes to Gate 32, at timeslot 10
Aircraft 595 goes to Gate 26, at timeslot 3
Aircraft 596 goes to Gate 47, at timeslot 10
Aircraft 597 goes to Gate 47, at timeslot 14
Aircraft 598 goes to Gate 33, at timeslot 10
Aircraft 599 goes to Gate 92, at timeslot 13
Aircraft 600 goes to Gate 20, at timeslot 2
Aircraft 601 goes to Gate 64, at timeslot 5
Aircraft 602 goes to Gate 34, at timeslot 9
Aircraft 603 goes to Gate 4, at timeslot 7
Aircraft 604 goes to Gate 56, at timeslot 15
Aircraft 605 goes to Gate 26, at timeslot 14
Aircraft 606 goes to Gate 20, at timeslot 3
Aircraft 607 goes to Gate 31, at timeslot 4
Aircraft 608 goes to Gate 41, at timeslot 7
Aircraft 609 goes to Gate 66, at timeslot 6
Aircraft 610 goes to Gate 54, at timeslot 7
Aircraft 611 goes to Gate 93, at timeslot 3
Aircraft 612 goes to Gate 4, at timeslot 6
Aircraft 613 goes to Gate 51, at timeslot 9
Aircraft 614 goes to Gate 51, at timeslot 3
Aircraft 615 goes to Gate 24, at timeslot 13
Aircraft 616 goes to Gate 66, at timeslot 7
Aircraft 617 goes to Gate 37, at timeslot 1
Aircraft 618 goes to Gate 52, at timeslot 11 (VIP)
Aircraft 619 goes to Gate 47, at timeslot 3
Aircraft 620 goes to Gate 66, at timeslot 13
Aircraft 621 goes to Gate 81, at timeslot 10
Aircraft 622 goes to Gate 95, at timeslot 7
Aircraft 623 goes to Gate 36, at timeslot 8
Aircraft 624 goes to Gate 66, at timeslot 11
Aircraft 625 goes to Gate 86, at timeslot 12
Aircraft 626 goes to Gate 33, at timeslot 8
Aircraft 627 goes to Gate 39, at timeslot 4
Aircraft 628 goes to Gate 46, at timeslot 5
Aircraft 629 goes to Gate 25, at timeslot 3
Aircraft 630 goes to Gate 41, at timeslot 6
Aircraft 631 goes to Gate 56, at timeslot 9
Aircraft 632 goes to Gate 27, at timeslot 13
Aircraft 633 goes to Gate 73, at timeslot 6
Aircraft 634 goes to Gate 42, at timeslot 11
Aircraft 635 goes to Gate 33, at timeslot 14
Aircraft 636 goes to Gate 66, at timeslot 2
Aircraft 637 goes to Gate 40, at timeslot 9
Aircraft 638 goes to Gate 28, at timeslot 12
Aircraft 639 goes to Gate 54, at timeslot 3
Aircraft 640 goes to Gate 34, at timeslot 5
Aircraft 641 goes to Gate 75, at timeslot 7
Aircraft 642 goes to Gate 67, at timeslot 13
Aircraft 643 goes to Gate 31, at timeslot 14
Aircraft 644 goes to Gate 58, at timeslot 11
Aircraft 645 goes to Gate 73, at timeslot 9
Aircraft 646 goes to Gate 53, at timeslot 11
Aircraft 647 goes to Gate 67, at timeslot 0
Aircraft 648 goes to Gate 9, at timeslot 12
Aircraft 649 goes to Gate 80, at timeslot 11
Aircraft 650 goes to Gate 19, at timeslot 7
Aircraft 651 goes to Gate 54, at timeslot 15
Aircraft 652 goes to Gate 40, at timeslot 11
Aircraft 653 goes to Gate 43, at timeslot 1
Aircraft 654 goes to Gate 42, at timeslot 2
Aircraft 655 goes to Gate 83, at timeslot 5
Aircraft 656 goes to Gate 75, at timeslot 12
Aircraft 657 goes to Gate 43, at timeslot 0
Aircraft 658 goes to Gate 24, at timeslot 5
Aircraft 659 goes to Gate 54, at timeslot 8
Aircraft 660 goes to Gate 27, at timeslot 9
Aircraft 661 goes to Gate 20, at timeslot 8
Aircraft 662 goes to Gate 35, at timeslot 2
Aircraft 663 goes to Gate 20, at timeslot 11
Aircraft 664 goes to Gate 56, at timeslot 12
Aircraft 665 goes to Gate 53, at timeslot 5
Aircraft 666 goes to Gate 4, at timeslot 3
Aircraft 667 goes to Gate 42, at timeslot 1
Aircraft 668 goes to Gate 47, at timeslot 7
Aircraft 669 goes to Gate 48, at timeslot 15
Aircraft 670 goes to Gate 52, at timeslot 3
Aircraft 671 goes to Gate 73, at timeslot 10
Aircraft 672 goes to Gate 6, at timeslot 8
Aircraft 673 goes to Gate 78, at timeslot 5
Aircraft 674 goes to Gate 4, at timeslot 12
Aircraft 675 goes to Gate 67, at timeslot 10
Aircraft 676 goes to Gate 67, at timeslot 5
Aircraft 677 goes to Gate 75, at timeslot 14
Aircraft 678 goes to Gate 92, at timeslot 15
Aircraft 679 goes to Gate 47, at timeslot 1
Aircraft 680 goes to Gate 11, at timeslot 12
Aircraft 681 goes to Gate 34, at timeslot 11
Aircraft 682 goes to Gate 20, at timeslot 9
Aircraft 683 goes to Gate 9, at timeslot 7
Aircraft 684 goes to Gate 92, at timeslot 11
Aircraft 685 goes to Gate 66, at timeslot 10
Aircraft 686 goes to Gate 4, at timeslot 13
Aircraft 687 goes to Gate 53, at timeslot 2
Aircraft 688 goes to Gate 23, at timeslot 1
Aircraft 689 goes to Gate 60, at timeslot 14
Aircraft 690 goes to Gate 73, at timeslot 0
Aircraft 691 goes to Gate 20, at timeslot 1
Aircraft 692 goes to Gate 53, at timeslot 0
Aircraft 693 goes to Gate 93, at timeslot 1
Aircraft 694 goes to Gate 15, at timeslot 1
Aircraft 695 goes to Gate 23, at timeslot 12
Aircraft 696 goes to Gate 68, at timeslot 6
Aircraft 697 goes to Gate 31, at timeslot 8
Aircraft 698 goes to Gate 41, at timeslot 8
Aircraft 699 goes to Gate 19, at timeslot 13
Aircraft 700 goes to Gate 93, at timeslot 10
Aircraft 701 goes to Gate 15, at timeslot 3
Aircraft 702 goes to Gate 73, at timeslot 2
Aircraft 703 goes to Gate 86, at timeslot 0
Aircraft 704 goes to Gate 73, at timeslot 7
Aircraft 705 goes to Gate 27, at timeslot 4
Aircraft 706 goes to Gate 38, at timeslot 15
Aircraft 707 goes to Gate 15, at timeslot 6
Aircraft 708 goes to Gate 39, at timeslot 0
Aircraft 709 goes to Gate 26, at timeslot 5
Aircraft 710 goes to Gate 67, at timeslot 15
Aircraft 711 goes to Gate 19, at timeslot 15
Aircraft 712 goes to Gate 86, at timeslot 3
Aircraft 713 goes to Gate 27, at timeslot 15
Aircraft 714 goes to Gate 23, at timeslot 3
Aircraft 715 goes to Gate 77, at timeslot 9
Aircraft 716 goes to Gate 19, at timeslot 12
Aircraft 717 goes to Gate 93, at timeslot 13
Aircraft 718 goes to Gate 41, at timeslot 10
Aircraft 719 goes to Gate 93, at timeslot 4
Aircraft 720 goes to Gate 65, at timeslot 9
Aircraft 721 goes to Gate 28, at timeslot 0
Aircraft 722 goes to Gate 6, at timeslot 6
Aircraft 723 goes to Gate 27, at timeslot 5
Aircraft 724 goes to Gate 56, at timeslot 14
Aircraft 725 goes to Gate 24, at timeslot 3
Aircraft 726 goes to Gate 34, at timeslot 0
Aircraft 727 goes to Gate 60, at timeslot 0
Aircraft 728 goes to Gate 56, at timeslot 1
Aircraft 729 goes to Gate 46, at timeslot 2
Aircraft 730 goes to Gate 77, at timeslot 0
Aircraft 731 goes to Gate 39, at timeslot 11
Aircraft 732 goes to Gate 12, at timeslot 11
Aircraft 733 goes to Gate 92, at timeslot 2
Aircraft 734 goes to Gate 52, at timeslot 2
Aircraft 735 goes to Gate 47, at timeslot 9
Aircraft 736 goes to Gate 43, at timeslot 6
Aircraft 737 goes to Gate 58, at timeslot 15
Aircraft 738 goes to Gate 15, at timeslot 15
Aircraft 739 goes to Gate 92, at timeslot 12
Aircraft 740 goes to Gate 2, at timeslot 7
Aircraft 741 goes to Gate 68, at timeslot 11
Aircraft 742 goes to Gate 66, at timeslot 8
Aircraft 743 goes to Gate 95, at timeslot 9
Aircraft 744 goes to Gate 58, at timeslot 10
Aircraft 745 goes to Gate 32, at timeslot 8
Aircraft 746 goes to Gate 26, at timeslot 12
Aircraft 747 goes to Gate 53, at timeslot 13
Aircraft 748 goes to Gate 23, at timeslot 2
Aircraft 749 goes to Gate 27, at timeslot 14
Aircraft 750 goes to Gate 32, at timeslot 14
Aircraft 751 goes to Gate 80, at timeslot 4
Aircraft 752 goes to Gate 26, at timeslot 7
Aircraft 753 goes to Gate 92, at timeslot 7


Optimal Objective value = Total walking distance = 4602.509 km
